unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1777,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q452246,Friedrich Carl von Lichtenstein,Friedrich Carl von Lichtenstein,unnverändert,Wirlicher Geheimer Rat,,,Oberaufseher zu Eisenberg,,,,Eisenberg,,Seine Excellenz,,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q28057,Sylvius Friedrich Ludwig von Frankenberg,Sylvius Friedrich Ludwig von Frankenberg,unnverändert,Wirlicher Geheimer Rat,,,Amtshauptmann der Aemter Leuchtenburg  und Orlamünde,,,,,,Seine Excellenz,,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q506999,Johann von Rothkirch und Trach,Johann von Rothkirch und Trach,unnverändert,Wirlicher Geheimer Rat,,,Canzler zu Altenburg,,,,Altenburg,,Seine Excellenz,,,,,,,,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q28051,,Wilhelm von Rotberg,neu,Wirlicher Geheimer Rat,,,Cammer-President,Ober-Hofmeister,,,,,Seine Excellenz,,Wilhelm,,,,,von Rotberg,
Herzogliches Geheimde-Raths-Collegium,Q506753,,Q513415,,Friedrich Heinrich von Einsiedel,neu,Wirlicher Geheimer Rat,,,Cammer-President,Ober-Steuer Direktor zu Altenburg,,,,,Seine Excellenz,,Friedrich,Heinrich,,,,von Einsiedel,
Herzogliches Geheimde-Raths-Collegium,Q506753,,,,Ernst August von Studenitz,neu,Wirlicher Geheimer Rat,,,Canzler,,,,,,Seine Excellenz,,Ernst,August,,,,von Studenitz,
Deutsche Expedition,Q506890,,Q18708,Johann Christian von Hoff,Johann Christian von Hoff,unverändert,Legitions-Rath,,,,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q14201,Ludwig Christian Lichtenberg,Ludwig Christian Lichtenberg,unverändert,Geheimer -Secetarius,,,,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,,Friedrich Heinrich Carl Lauretii,Friedrich Heinrich Carl Lauretii,unverändert,Geheimer Canzley-Secetarius,,,,,,,,,,,,,,,,,
Deutsche Expedition,Q506890,,Q10781,Johann Friedrich Wilhelm Gotter,Johann Friedrich Wilhelm Gotter,unverändert,Legitions-Secetarius,,,,,,,,,,,,,,,,,
